"Башкими","Bashkimi"
"Македонија ЃП","Makedonija GP"
"Шкендија","Shkëndija"
"Шкендија Аранчиново","Shkëndija Haraçinë"
"Шкупи","Shkupi"
"АП Брера","AP Brera"
"Башкими Љуботен","Bashkimi Luboten"
"Беса Слупчане","Besa Sllupçan"
"Влазерими Ј","Vëllazërimi J"
"Влазними","Vllaznimi"
"Влазними Јуниор","Vllaznimi Junior"
"Лопати","Llopati"
"Отља","Hotla"
"Студеничан","Studeniçan"
"Џепчишти","Xhepçishti"
"Речица Тетово","Reçica Tetova"
"Велешта Јунајтед","Velešta United"
"Њу Старс","New Stars"
"БВК Коњаре","BVK Konjare"
"Охрид Лихнидос","Ohrid Lychnidos"
"Јанг Стар","Young Star"
"Јанг Бојс","Young Boys"
"Беса Добридол","Besa Dobërdoll"
"Бирлик","Birlik"
"Влазними Оризари","Vllaznimi Orizari"
"Генч Калемлер Спорт","Gench Kalemler Sport"
"Крошу Спорт Битола","Kroschu Sport Bitola"
"Лисолај","Lisolaj"
"Лојане","Llojani"
"Матејче","Mateçi"
"Олд Бојс","Old Boys"
"Опае","Opaja"
"Перпарими Нигиштан","Përparimi Nikishtane"
"Раштак","Rashtak"
"Ускуп 1911","Üsküp 1911"
"Ваксинца","Vaksinca"
"Градец","Gradec"
"Лириа Черкези","Liria Çerkez"
"Лирија","Liria"
"Речица","Rečica"
"Скендербеу","Skënderbeu"
"Јанг Тим","Young Team"
"Башкими 2008","Bashkimi 2008"
"Беса Глобал","Besa Global"
"Влазрими Слатино","Vëllazërimi Sllatinë"
"Вондеркидс","Wonderkids"
"Џокер","Joker"
"Дарданет Академи","Dardanet Academy"
"Евротип Онлајн","Evrotip Online"
"Кул Здравје","Cool Zdravje"
"Куманово 2012","Kumanovo 2012"
"Куманово Еуроспорт-Вардар","Kumanovo Eurosport-Vardar"
"Ла Масиа","La Masía"
"Мал Ајакс Вардар","Mal Ajax Vardar"
"Некст Левел","Next Level"
"ОСК Фер Плеј","OSK Fair Play"
"Победа Пепелиште","Pobeda Pepelište"
"Прилеп Сити","Prilep City"
"Скупи Промо Фут","Scupi Promo Foot"
"Шари","Sharri"
"Беса Челопек","Besa Çellopek"
"Риниа Пршовце","Rinia Përshec"
"Палатица","Pallatica"
"Академија Таленти","Akademia Talenti"
"Беса Добри Дол","KF Besa Dobërdoll"
"Црвена Ѕвезда Јосифово","Crvena Zvezda Josifovo"
"ФЦП Палатица","FCP Palatica"
"ЕС","ES"
"ССК Нова","SSK Nova"
