original_mk,mk,sq,es,en
Бараж за Прва ЖФЛ,Бараж за Прва лига,Play-off për Ligën e Parë,Play-off por la Primera Liga,First League Play-off
Втора ЖФЛ,Втора лига,Liga e Dytë,Segunda Liga,Second League
Елиминација за 1/16 КУП на РМ за Жени,Куп на РМ (елим.),Kupa e Maqedonisë (elim.),Copa de Macedonia (elim.),Macedonian Cup (elim.)
Кадетска Женска Фудбалска Лига,Кадетска лига,Liga e Kadetëve,Liga Cadete,Cadet League
Кадетска Женска Фудбалска Лига Запад,Кадетска лига (запад),Liga e Kadetëve (perëndim),Liga Cadete (oeste),Cadet League (West)
Кадетска Женска Фудбалска Лига Исток,Кадетска лига (исток),Liga e Kadetëve (lindje),Liga Cadete (este),Cadet League (East)
КУП на РМ за Жени,Куп на РМ,Kupa e Maqedonisë,Copa de Macedonia,Macedonian Cup
КУП на РМ за Жени Елиминација за 1/16,Куп на РМ (елим.),Kupa e Maqedonisë (elim.),Copa de Macedonia (elim.),Macedonian Cup (elim.)
Младинска А Женска Фудбалска Лига Запад,Младинска лига (запад),Liga e Rinisë (perëndim),Liga Juvenil (oeste),Youth League (West)
Младинска А Женска Фудбалска Лига Исток,Младинска лига (исток),Liga e Rinisë (lindje),Liga Juvenil (este),Youth League (East)
Младинска Женска Фудбалска Лига,Младинска лига,Liga e Rinisë,Liga Juvenil,Youth League
Прва ЖФЛ,Прва лига,Liga e Parë,Primera Liga,First League
