mk,sq,es,en
"Глобал Арена (Гостивар)","Global Arena (Gostivar)","Global Arena (Gostivar)","Global Arena (Gostivar)"
"Градски стадион (Велес)","Stadiumi i qytetit (Veles)","Estadio Municipal (Veles)","City Stadium (Veles)"
"Градски стадион Гумења (Крушево)","Stadiumi i qytetit Gumenja (Krushevë)","Estadio Municipal Gumenja (Kruševo)","City Stadium Gumenja (Kruševo)"
"Градски стадион (Кавадарци)","Stadiumi i qytetit (Kavadar)","Estadio Municipal (Kavadarci)","City Stadium (Kavadarci)"
"Градски Стадион Кавадарци, Кавадарци","Stadiumi i qytetit (Kavadar)","Estadio Municipal (Kavadarci)","City Stadium (Kavadarci)"
"Градски стадион (Крива Паланка)","Stadiumi i qytetit (Kriva Pallankë)","Estadio Municipal (Kriva Palanka)","City Stadium (Kriva Palanka)"
"Градски стадион (Македонска Каменица)","Stadiumi i qytetit (Kamenicë)","Estadio Municipal (Makedonska Kamenica)","City Stadium (Makedonska Kamenica)"
"Градски стадион (Пробиштип)","Stadiumi i qytetit (Probishtip)","Estadio Municipal (Probištip)","City Stadium (Probištip)"
"Градски стадион (Берово)","Stadiumi i qytetit (Berovë)","Estadio Municipal (Berovo)","City Stadium (Berovo)"
"Градски стадион „Петар Милошевски“ (Битола)","Stadiumi i qytetit ""Petar Milloshevski"" (Manastir)","Estadio Municipal Petar Miloševski (Bitola)","City Stadium Petar Miloševski (Bitola)"
"Градски стадион „Филип Втори“ (Виница)","Stadiumi i qytetit ""Filipi i Dytë"" (Vinicë)","Estadio Municipal Filip Vtori (Vinica)","City Stadium Filip Vtori (Vinica)"
"Градски стадион (Богданци)","Stadiumi i qytetit (Bogdanci)","Estadio Municipal (Bogdanci)","City Stadium (Bogdanci)"
"Градски стадион (Валандово)","Stadiumi i qytetit (Vallandovë)","Estadio Municipal (Valandovo)","City Stadium (Valandovo)"
"Градски стадион (Гевгелија)","Stadiumi i qytetit (Gjevgjeli)","Estadio Municipal (Gevgelija)","City Stadium (Gevgelija)"
"Градски стадион (Гостивар)","Stadiumi i qytetit (Gostivar)","Estadio Municipal (Gostivar)","City Stadium (Gostivar)"
"Градски стадион „Гоце Делчев“ (Делчево)","Stadiumi i qytetit ""Goce Dellçev"" (Dellçevë)","Estadio Municipal Goce Delčev (Delčevo)","City Stadium Goce Delčev (Delčevo)"
"Градски стадион (Дебар)","Stadiumi i qytetit (Dibër)","Estadio Municipal (Debar)","City Stadium (Debar)"
"Градски стадион (Демир Хисар)","Stadiumi i qytetit (Demir Hisar)","Estadio Municipal (Demir Hisar)","City Stadium (Demir Hisar)"
"Градски стадион (Кичево)","Stadiumi i qytetit (Kërçovë)","Estadio Municipal (Kičevo)","City Stadium (Kičevo)"
"Градски стадион „Никола Мантов“ (Кочани)","Stadiumi i qytetit ""Nikolla Mantov"" (Koçan)","Estadio Municipal Nikola Mantov (Kočani)","City Stadium Nikola Mantov (Kočani)"
"Градски стадион (Куманово)","Stadiumi i qytetit (Kumanovë)","Estadio Municipal (Kumanovo)","City Stadium (Kumanovo)"
"Градски стадион Мусала (Кратово)","Stadiumi i qytetit Musalla (Kratovë)","Estadio Municipal Musala (Kratovo)","City Stadium Musala (Kratovo)"
"Градски стадион (Неготино)","Stadiumi i qytetit (Negotinë)","Estadio Municipal (Negotino)","City Stadium (Negotino)"
"Градски стадион (Радовиш)","Stadiumi i qytetit (Radovish)","Estadio Municipal (Radoviš)","City Stadium (Radoviš)"
"Градски стадион (Свети Николе)","Stadiumi i qytetit (Sveti Nikollë)","Estadio Municipal (Sveti Nikole)","City Stadium (Sveti Nikole)"
"Градски стадион (Струга)","Stadiumi i qytetit (Strugë)","Estadio Municipal (Struga)","City Stadium (Struga)"
"Градски стадион (Тетово)","Stadiumi i qytetit (Tetovë)","Estadio Municipal (Tetovo)","City Stadium (Tetovo)"
"Градски стадион (Штип)","Stadiumi i qytetit (Shtip)","Estadio Municipal (Štip)","City Stadium (Štip)"
"Градски стадион (Ресен)","Stadiumi i qytetit (Resnjë)","Estadio Municipal (Resen)","City Stadium (Resen)"
"Градски стадион (Куманово)","Stadiumi i qytetit (Kumanovë)","Estadio Municipal (Kumanovo)","City Stadium (Kumanovo)"
"Игралиште во Желино (Желино)","Fusha e futbollit në Zhelinë (Zhelinë)","Campo de fútbol en Želino (Želino)","Football Pitch in Želino (Želino)"
"Игралиште во Камењане (Боговиње)","Fusha e futbollit në Kamjan (Bogovinë)","Campo de fútbol en Kamenjane (Bogovinje)","Football Pitch in Kamenjane (Bogovinje)"
"Игралиште во Пирок (Боговиње)","Fusha e futbollit në Pirok (Bogovinë)","Campo de fútbol en Pirok (Bogovinje)","Football Pitch in Pirok (Bogovinje)"
"Игралиште во Драчево (Кисела Вода, Скопје)","Fusha e futbollit në Draçevë (Kisella Vodë, Shkup)","Campo de fútbol en Dračevo (Kisela Voda, Skopie)","Football Pitch in Dračevo (Kisela Voda, Skopje)"
"Игралиште во Волково (Ѓорче Петров, Скопје)","Fusha e futbollit në Vollkovë (Gjorçe Petrov, Shkup)","Campo de fútbol en Volkovo (Gjorče Petrov, Skopie)","Football Pitch in Volkovo (Gjorče Petrov, Skopje)"
"Игралиште во Кадино (Прилеп)","Fusha e futbollit në Kadino (Përlep)","Campo de fútbol en Kadino (Prilep)","Football Pitch in Kadino (Prilep)"
"Игралиште на АМС (Теарце)","Fusha e futbollit e AMS-së (Tearcë)","Campo de fútbol AMS (Tearce)","AMS Football Pitch (Tearce)"
"Игралиште во Студеничани (Студеничани)","Fusha e futbollit në Studeniçan (Studeniçan)","Campo de fútbol en Studeničani (Studeničani)","Football Pitch in Studeničani (Studeničani)"
"Игралиште „Могила“ (Прилеп)","Fusha e futbollit ""Mogilla"" (Përlep)","Campo de fútbol Mogila (Prilep)","Mogila Football Pitch (Prilep)"
"Игралиште „Дамјан Груев“ (Чешиново)","Fusha e futbollit ""Damjan Gruev"" (Çeshinovë)","Campo de fútbol Damjan Gruev (Češinovo)","Damjan Gruev Football Pitch (Češinovo)"
"Игралиште „Зрновка“ (Зрновци)","Fusha e futbollit ""Zrnovka"" (Zrnovc)","Campo de fútbol Zrnovka (Zrnovci)","Zrnovka Football Pitch (Zrnovci)"
"Игралиште „7 Март“ (Чаир, Скопје)","Fusha e futbollit ""7 Marsi"" (Çair, Shkup)","Campo de fútbol 7 Mart (Čair, Skopie)","7 Mart Football Pitch (Čair, Skopje)"
"Игралиште „Абдулмеџид Шахини“ (Слупчане)","Fusha e futbollit ""Abdulmexhid Shahini"" (Sllupçan)","Campo de fútbol Abdulmedžid Šahini (Slupčane)","Abdulmedžid Šahini Football Pitch (Slupčane)"
"Игралиште на АМС (Росоман)","Fusha e futbollit e AMS-së (Rosoman)","Campo de fútbol AMS (Rosoman)","AMS Football Pitch (Rosoman)"
"Игралиште на АМС (Карбинци)","Fusha e futbollit e AMS-së (Karbinci)","Campo de fútbol AMS (Karbinci)","AMS Football Pitch (Karbinci)"
"Игралиште Бело Брдо (Штип)","Fusha e futbollit Bello Bërdo (Shtip)","Campo de fútbol Belo Brdo (Štip)","Belo Brdo Football Pitch (Štip)"
"Игралиште во Брвеница (Брвеница)","Fusha e futbollit në Bërvenicë (Bërvenicë)","Campo de fútbol en Brvenica (Brvenica)","Football Pitch in Brvenica (Brvenica)"
