mk,sq,es,en
Агино,Agino,Agino,Agino
Арачиново,Haraçina,Aračinovo,Aračinovo
Бардовци,Bardhoci,Bardovci,Bardovci
Башибос,Bashibos,Bašibos,Bašibos
Башино Село,Bashino Sella,Bašino Selo,Bašino Selo
Белчишта,Belçishta,Belčišta,Belčišta
Беранци,Beranci,Beranci,Beranci
Берово,Berova,Berovo,Berovo
Битола,Manastiri,Bitola,Bitola
Богданци,Bogdanca,Bogdanci,Bogdanci
Богомила,Bogomila,Bogomila,Bogomila
Боговиње,Bogovina,Bogovinje,Bogovinje
Бороец,Boroveci,Boroec,Boroec
Брвеница,Bërvenica,Brvenica,Brvenica
Бучин,Buçin,Bučin,Bučin
Будаково,Budakova,Budakovo,Budakovo
Бујковци,Bujkoci,Bujkovci,Bujkovci
Царев Двор,Carev Dvor,Carev Dvor,Carev Dvor
Чашка,Çashka,Čaška,Čaška
Чегране,Çegrani,Čegrane,Čegrane
Челопек,Çelopeku,Čelopek,Čelopek
Чешиново,Çeshinova,Češinovo,Češinovo
Четирце,Çetirca,Četirce,Četirce
Црнилиште,Cërnilishti,Crnilište,Crnilište
Црнобуки,Cërnobuki,Crnobuki,Crnobuki
Далбеговци,Dallbegoci,Dalbegovci,Dalbegovci
Дебар,Dibra,Debar,Debar
Дебреше,Debresha,Debreše,Debreše
Дедебалци,Dedebalci,Dedebalci,Dedebalci
Делчево,Dellçeva,Delčevo,Delčevo
Дељадровци,Deladroci,Deljadrovci,Deljadrovci
Делогожди,Dollogozhda,Delogoždi,Delogoždi
Демир Хисар,Demir Hisari,Demir Hisar,Demir Hisar
Демир Капија,Demir Kapia,Demir Kapija,Demir Kapija
Десово,Desova,Desovo,Desovo
Добри Дол,Dobërdoli,Dobri Dol,Dobri Dol
Добромири,Dobromiri,Dobromiri,Dobromiri
Доброшане,Dobroshani,Dobrošane,Dobrošane
Доброште,Dobroshti,Dobrošte,Dobrošte
Добрушево,Dobrusheva,Dobruševo,Dobruševo
Долна Бањица,Banjica e Poshtme,Dolna Banjica,Dolna Banjica
Долна Белица,Belica e Poshtme,Dolna Belica,Dolna Belica
Долна Чарлија,Çarlija e Poshtme,Dolna Čarlija,Dolna Čarlija
Долнени,Dollneni,Dolneni,Dolneni
Долни Дисан,Disani i Poshtëm,Dolni Disan,Dolni Disan
Долни Коњари,Kojnara e Poshtme,Dolni Konjari,Dolni Konjari
Долно Оризари,Orizarja e Poshtme,Dolno Orizari,Dolno Orizari
Долно Палчиште,Pallçishti i Poshtëm,Dolno Palčište,Dolno Palčište
Долно Српци,Sërpca e Poshtme,Dolno Srpci,Dolno Srpci
Долно Свиларе,Svillara e Poshtme,Dolno Svilare,Dolno Svilare
Дреновци,Drenoci,Drenovci,Drenovci
Дреново,Drenova,Drenovo,Drenovo
Џепчиште,Xhepçishti,Džepčište,Džepčište
Ерековци,Erekovci,Erekovci,Erekovci
Форино,Forina,Forino,Forino
Гевгелија,Gjevgjelia,Gevgelija,Gevgelija
Глоѓи,Gllogja,Glogji,Glogji
Голема Речица,Reçica e Madhe,Golema Rečica,Golema Rečica
Големо Коњари,Kojnara e Madhe,Golemo Konjari,Golemo Konjari
Горна Бањица,Banjica e Epërme,Gorna Banjica,Gorna Banjica
Горно Јаболчиште,Jabollçishti i Epërm,Gorno Jabolčište,Gorno Jabolčište
Горно Врановци,Vranoci i Epërm,Gorno Vranovci,Gorno Vranovci
Гостивар,Gostivari,Gostivar,Gostivar
Градец,Gradeci,Gradec,Gradec
Градско,Gradsko,Gradsko,Gradsko
Градско Балдовци,Baldoci i Gradskos,Gradsko Baldovci,Gradsko Baldovci
Грешница,Greshnica,Grešnica,Grešnica
Грнчари,Gërçari,Grnčari,Grnčari
Инџиково,Inxhikova,Indžikovo,Indžikovo
Ивањевци,Ivanjevci,Ivanjevci,Ivanjevci
Јегуновце,Jegunoci,Jegunovce,Jegunovce
