Adili Arlinda
Andonova Natasha
Andreevska Lenche
Bosheska Ane
Bozhinovska Tea
Cokleska Olivera
Galabovska Teona
Gjorgjievska Teodora
Grozdanova Melanija
Iljaz Sevim
Jakovska Eli
Joshevska Hristina
Jovanovska Aleksandra
Kabakchi Berna
Kolarovska Sara
Kolevska Verica
Limani Ikmete
Maksuti Ulza
Marinkovska Stefanija
Markovska Aleksandra
Meijer Simona-Rebeka
Milchevska Ana
Mustafa Hava
Nedeva Viktorija
Nikolovska Pavlinka
Panchurova Viktorija
Paneska Biljana
Paneska Elena
Pavloska Kristina
Petkova Bojana
Petkova Katerina
Petrovska Elena
Rochi Gentjana
Saliji Shkjipe
Shemsovikj Elma
Stojkovska Angela
Sulejmani Lora
Talevska Mila
