id_partido,goles_local,goles_visitante
10232349,0,3
9979746,3,0
9980478,3,0
9980477,3,0
9979745,3,0
9942615,0,3
10048007,3,0
10048100,3,0
10063702,0,3
10063717,3,0
10065171,0,3
10065182,3,0
10065190,3,0
10065199,3,0
10089887,3,0
10091085,0,3
10091093,3,0
10091094,0,3
10091103,0,3
10091109,3,0
10091112,3,0
10091113,0,3
10091116,3,0
10093831,3,0
10093845,3,0
10093858,3,0
10141408,3,0
10141413,3,0
10141419,0,3
10141421,3,0
10141430,0,3
10141440,3,0
10141441,0,3
10141443,3,0
10141446,3,0
10141450,3,0
10267563,0,3
10267576,0,3
10267578,3,0
10171162,3,0
10171169,0,3
10190713,0,3
10232349,0,3
10337291,3,0
10337296,3,0
10337297,3,0
9981267,0,3
9981271,3,0
9981276,0,3
9981278,0,3
9981282,3,0
9981285,0,3
9981293,0,3
9981294,0,3
9981303,3,0
9981305,0,3
9981312,3,0
9981316,0,3
9981321,3,0
9981327,0,3
9981330,3,0
9965083,3,0
10144167,3,0
10130207,3,0
10130231,3,0
10130678,3,0
10131016,3,0
10131023,3,0
10131877,0,3
10132355,3,0
9979745,3,0
9979748,0,3
9979756,3,0
9979757,3,0
9979766,0,3
9979768,3,0
9979775,0,3
9979776,3,0
9979779,3,0
9979784,0,3
9979790,0,3
9979793,3,0
9979798,3,0
9979800,3,0
9979801,0,3
9979802,0,3
9979810,3,0
9979811,3,0
9979812,3,0
9979813,0,3
9979814,0,3
9979817,0,3
9979819,3,0
9979820,3,0
9979821,0,3
9979822,3,0
9979824,0,3
9979825,0,3
9979827,0,3
9979828,3,0
9979829,3,0
9979831,3,0
9962606,0,3
10044285,3,0
10044294,3,0
10044296,3,0
10044651,3,0
10045003,3,0
10045004,3,0
10045010,0,3
10045396,3,0
10045034,3,0
10138561,3,0
10138563,3,0
9982013,3,0
10139123,0,3
9980496,0,3
9980502,3,0
9980504,0,3
9980513,3,0
9980532,3,0
9980536,0,3
9980541,3,0
9980544,3,0
9980546,0,3
9980547,0,3
9980549,0,3
9980550,3,0
9980554,3,0
9980558,0,3
9980559,0,3
10138857,3,0
8305553,0,3
8305669,0,3
8305672,3,0
8305676,0,3
8305677,0,3
8305682,0,3
8305683,3,0
8305688,3,0
8305690,0,3
8305694,3,0
8305696,0,3
8305699,3,0
8309400,3,0
8309491,0,3
8332935,3,0
8333655,3,0
