id,force_role
108991,goalkeeper
111893,goalkeeper
111905,goalkeeper
111907,goalkeeper
112027,goalkeeper
112084,goalkeeper
112142,goalkeeper
112209,goalkeeper
112210,goalkeeper
112260,goalkeeper
112298,goalkeeper
112847,goalkeeper
113705,goalkeeper
114554,goalkeeper
114800,goalkeeper
114987,goalkeeper
122868,goalkeeper
124834,goalkeeper
130126,goalkeeper
130661,goalkeeper
130781,goalkeeper
131518,goalkeeper
132537,goalkeeper
132926,goalkeeper
133474,goalkeeper
135125,goalkeeper
135425,goalkeeper
135520,goalkeeper
137446,goalkeeper
137654,goalkeeper
138711,goalkeeper
140122,goalkeeper
141395,goalkeeper
141897,goalkeeper
141909,goalkeeper
142296,goalkeeper
143403,goalkeeper
144643,goalkeeper
145303,goalkeeper
146001,goalkeeper
146776,goalkeeper
147735,goalkeeper
148373,goalkeeper
148585,goalkeeper
150920,goalkeeper
244690,goalkeeper
249444,goalkeeper
249977,goalkeeper
250149,goalkeeper
250175,goalkeeper
250393,goalkeeper
250776,goalkeeper
250905,goalkeeper
250985,goalkeeper
250994,goalkeeper
250999,goalkeeper
251175,goalkeeper
251255,goalkeeper
253275,goalkeeper
256409,goalkeeper
256437,goalkeeper
256602,goalkeeper
256693,goalkeeper
256836,goalkeeper
258746,goalkeeper
258860,goalkeeper
259197,goalkeeper
259201,goalkeeper
259206,goalkeeper
259904,goalkeeper
259943,goalkeeper
261124,goalkeeper
261800,goalkeeper
262076,goalkeeper
262319,goalkeeper
262779,goalkeeper
262880,goalkeeper
262951,goalkeeper
263064,goalkeeper
263661,goalkeeper
263795,goalkeeper
263810,goalkeeper
264459,goalkeeper
264460,goalkeeper
265604,goalkeeper
265738,goalkeeper
265740,goalkeeper
266223,goalkeeper
266540,goalkeeper
266689,goalkeeper
266788,goalkeeper
266971,goalkeeper
267022,goalkeeper
267633,goalkeeper
268343,goalkeeper
269268,goalkeeper
269457,goalkeeper
269464,goalkeeper
269481,goalkeeper
269703,goalkeeper
269863,goalkeeper
270192,goalkeeper
271743,goalkeeper
271762,goalkeeper
271913,goalkeeper
271914,goalkeeper
271921,goalkeeper
271930,goalkeeper
271933,goalkeeper
271934,goalkeeper
271954,goalkeeper
271957,goalkeeper
271968,goalkeeper
271971,goalkeeper
272042,goalkeeper
272587,goalkeeper
