start	end	comp
864807	864807	Пријателски натпревар - Женски фудбалски kлуб - U-16
899500	899500	Пријателски натпревар - Женски фудбалски kлуб - U-16
903137	903137	Пријателски натпревар - Женски фудбалски kлуб - U-16
1634961	1634961	Пријателски натпревар - Женски фудбалски kлуб - A
1943254	1943254	Пријателски натпревар - Женски фудбалски kлуб - A
4290730	4290730	Пријателски натпревар - Женски фудбалски kлуб - A
6019930	6019931	КУП на РМ за Жени 22/23
6056160	6056174	КУП на РМ за Жени 22/23
6961842	6961976	Прва ЖФЛ 23/24
7019710	7019765	Втора ЖФЛ 23/24
7385645	7385646	КУП на РМ за Жени 23/24
7427324	7427338	КУП на РМ за Жени 23/24
8256612	8256612	Бараж за Прва ЖФЛ 24/25
8327721	8327723	Прва ЖФЛ 24/25
8327725	8327727	Прва ЖФЛ 24/25
8327729	8327732	Прва ЖФЛ 24/25
8327734	8327738	Прва ЖФЛ 24/25
8327740	8327741	Прва ЖФЛ 24/25
8327743	8327749	Прва ЖФЛ 24/25
8327752	8327759	Прва ЖФЛ 24/25
8327761	8327761	Прва ЖФЛ 24/25
8327763	8327768	Прва ЖФЛ 24/25
8327770	8327772	Прва ЖФЛ 24/25
8327774	8327777	Прва ЖФЛ 24/25
8327779	8327783	Прва ЖФЛ 24/25
8327785	8327786	Прва ЖФЛ 24/25
8327788	8327794	Прва ЖФЛ 24/25
8327797	8327804	Прва ЖФЛ 24/25
8327806	8327806	Прва ЖФЛ 24/25
8327808	8327814	Прва ЖФЛ 24/25
8327816	8327816	Прва ЖФЛ 24/25
8327818	8327823	Прва ЖФЛ 24/25
8327825	8327827	Прва ЖФЛ 24/25
8327829	8327832	Прва ЖФЛ 24/25
8327834	8327838	Прва ЖФЛ 24/25
8327840	8327841	Прва ЖФЛ 24/25
8327843	8327849	Прва ЖФЛ 24/25
8327852	8327855	Прва ЖФЛ 24/25
8372753	8372808	Втора ЖФЛ 24/25
8612480	8612661	Младинска Женска Фудбалска Лига 24/25
8613456	8613637	Кадетска Женска Фудбалска Лига 24/25
8811603	8811603	КУП на РМ за Жени 24/25
8881150	8881164	КУП на РМ за Жени 24/25
9767450	9767450	Бараж за Прва ЖФЛ 25/26
9835182	9835182	2024 A Internationals women - Internationals - Fixtures
9835190	9835190	2024 A Internationals women - Internationals - Fixtures
9835198	9835198	2024 A Internationals women - Internationals - Fixtures
9835206	9835206	2024 A Internationals women - Internationals - Fixtures
9838062	9838062	2023 A Internationals women - Internationals - Fixtures
9838070	9838070	2023 A Internationals women - Internationals - Fixtures
9838086	9838086	2023 A Internationals women - Internationals - Fixtures
9838121	9838121	2027 FIFA Women's World Cup - UWNL League Stage - Grp C6
9838137	9838137	2027 FIFA Women's World Cup - UWNL League Stage - Grp C6
9838153	9838153	2027 FIFA Women's World Cup - UWNL League Stage - Grp C6
9839730	9839730	2025 European Women's Under-17 Championship - Round 1 -
9839738	9839738	2025 European Women's Under-17 Championship - Round 1 -
9839754	9839754	2025 European Women's Under-17 Championship - Round 1 -
9844780	9844780	2023 FIFA Women's World Cup - Qualifying round group stage
9844796	9844796	2023 FIFA Women's World Cup - Qualifying round group stage
9844820	9844820	2023 FIFA Women's World Cup - Qualifying round group stage
9844844	9844844	2023 FIFA Women's World Cup - Qualifying round group stage
9844868	9844868	2023 FIFA Women's World Cup - Qualifying round group stage
9844884	9844884	2023 FIFA Women's World Cup - Qualifying round group stage
9844908	9844908	2023 FIFA Women's World Cup - Qualifying round group stage
9844932	9844932	2023 FIFA Women's World Cup - Qualifying round group stage
9844964	9844964	2023 FIFA Women's World Cup - Qualifying round group stage
9844996	9844996	2023 FIFA Women's World Cup - Qualifying round group stage
9848270	9848270	2025 European Women's Under-17 Championship - Round 2 -
9848286	9848286	2025 European Women's Under-17 Championship - Round 2 -
9848581	9848581	2024 European Women's Under-17 Championship - Round 1 -
9848605	9848605	2024 European Women's Under-17 Championship - Round 1 -
9848613	9848613	2024 European Women's Under-17 Championship - Round 1 -
9849113	9849113	2024 European Women's Under-17 Championship - Round 2 -
9849137	9849137	2024 European Women's Under-17 Championship - Round 2 -
9849153	9849153	2024 European Women's Under-17 Championship - Round 2 -
9849536	9849536	2023 European Women's Under-17 Championship - Round 1 -
9849544	9849544	2023 European Women's Under-17 Championship - Round 1 -
9849568	9849568	2023 European Women's Under-17 Championship - Round 1 -
9849923	9849923	2023 European Women's Under-17 Championship - Round 2 -
9849947	9849947	2023 European Women's Under-17 Championship - Round 2 -
9849963	9849963	2023 European Women's Under-17 Championship - Round 2 -
9850367	9850367	2022 European Women's Under-17 Championship - Round 1 -
9850391	9850391	2022 European Women's Under-17 Championship - Round 1 -
9850407	9850407	2022 European Women's Under-17 Championship - Round 1 -
9850702	9850702	2022 European Women's Under-17 Championship - Round 2 -
9850718	9850718	2022 European Women's Under-17 Championship - Round 2 -
9850742	9850742	2022 European Women's Under-17 Championship - Round 2 -
9851203	9851203	2025 European Women's Under-19 Championship - Round 1 -
9851227	9851227	2025 European Women's Under-19 Championship - Round 1 -
9851243	9851243	2025 European Women's Under-19 Championship - Round 1 -
9851686	9851686	2025 European Women's Under-19 Championship - Round 2 -
9851702	9851702	2025 European Women's Under-19 Championship - Round 2 -
